编号,图标预览,中文名,英文名,图标来源,图标集,场景章节,隐喻含义,建议用法,中文关键词,英文关键词,所在PPT页码,所在PPT分类,Office改色状态,授权提示
FLOW-028,,审批链,ApprovalChain,原创设计·几何抽象,PPT图标语义库·咨询框架包,02_流程模型,依次盖章的多级审批,用于公文审批、合同审批,审批链 / 多级审批,approval-chain,7,02_流程模型,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
FLOW-029,,分阶段推广,RolloutPhases,原创设计·几何抽象,PPT图标语义库·咨询框架包,02_流程模型,分阶段递进的灰度发布,用于产品分阶段推广,灰度发布 / 分阶段推广,"rollout, phased-release",7,02_流程模型,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
FLOW-030,,瓶颈节点,BottleneckFlow,原创设计·几何抽象,PPT图标语义库·咨询框架包,02_流程模型,粗管道中间收窄成细管的瓶颈,用于瓶颈分析、TOC约束理论,瓶颈 / 约束 / TOC,"bottleneck, constraint, TOC",7,02_流程模型,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
ORG-001,,四层金字塔,Pyramid4,原创设计·几何抽象,PPT图标语义库·咨询框架包,03_组织架构,高管/中管/基层/一线四层经典金字塔,用于科层组织结构图,金字塔 / 四层组织,"pyramid, 4-level",9,03_组织架构,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
ORG-002,,三层金字塔,Pyramid3,原创设计·几何抽象,PPT图标语义库·咨询框架包,03_组织架构,战略/战术/执行三层精简结构,用于精简组织架构,金字塔 / 三层,"pyramid, 3-level",9,03_组织架构,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
ORG-003,,倒金字塔,InvertedPyramid,原创设计·几何抽象,PPT图标语义库·咨询框架包,03_组织架构,顾客在上、管理者支持的服务型组织,用于服务型领导组织设计,倒金字塔 / 服务型组织,"inverted-pyramid, servant-leadership",9,03_组织架构,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
ORG-004,,矩阵组织,MatrixOrg,原创设计·几何抽象,PPT图标语义库·咨询框架包,03_组织架构,横向职能与纵向项目交织的双线汇报,用于矩阵式管理,矩阵组织 / 双线汇报,"matrix-org, dual-reporting",9,03_组织架构,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
ORG-005,,职能筒仓,FunctionalSilos,原创设计·几何抽象,PPT图标语义库·咨询框架包,03_组织架构,纵向独立的职能部门像一个个筒仓,用于诊断部门墙问题,职能筒仓 / 部门墙,functional-silos,9,03_组织架构,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
ORG-006,,事业部制,DivisionalOrg,原创设计·几何抽象,PPT图标语义库·咨询框架包,03_组织架构,总部下设独立运营的事业部,用于多元化集团组织,事业部 / Divisional,divisional-org,9,03_组织架构,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
ORG-007,,中心辐射CoE,HubSpoke,原创设计·几何抽象,PPT图标语义库·咨询框架包,03_组织架构,中心枢纽辐射多个外围单元,用于Center of Excellence/共享服务,中心辐射 / CoE / Hub-Spoke,"hub-spoke, coe",9,03_组织架构,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
ORG-008,,网络型组织,NetworkOrg,原创设计·几何抽象,PPT图标语义库·咨询框架包,03_组织架构,无中心、节点互联的网格组织,用于平台型/敏捷型组织,网络组织 / 无中心,"network-org, decentralized",9,03_组织架构,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
ORG-009,,合弄制圆环,Holacracy,原创设计·几何抽象,PPT图标语义库·咨询框架包,03_组织架构,嵌套圆环代表权责自治的圈层结构,用于合弄制Holacracy,合弄制 / Holacracy / 自治,"holacracy, circles",9,03_组织架构,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
ORG-010,,部落-小队,TribeSquad,原创设计·几何抽象,PPT图标语义库·咨询框架包,03_组织架构,外部部落包裹内部多个小队,用于Spotify Model部落小队,部落 / 小队 / Spotify-Model,"tribe, squad, spotify-model",9,03_组织架构,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
ORG-011,,Tiger Team,TigerTeam,原创设计·几何抽象,PPT图标语义库·咨询框架包,03_组织架构,三人小组紧密合作攻关,用于专项突击Tiger Team,Tiger Team / 专项小组,tiger-team,9,03_组织架构,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
ORG-012,,指导委员会,SteeringCommittee,原创设计·几何抽象,PPT图标语义库·咨询框架包,03_组织架构,圆桌会议六位决策者,用于指导委员会、董事会,指导委员会 / Steering,steering-committee,9,03_组织架构,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
ORG-013,,跨职能团队,CrossFunctional,原创设计·几何抽象,PPT图标语义库·咨询框架包,03_组织架构,三个职能圈交叉共建,用于跨职能项目团队,跨职能 / Cross-Functional,cross-functional,9,03_组织架构,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
ORG-014,,RACI矩阵,RaciMatrix,原创设计·几何抽象,PPT图标语义库·咨询框架包,03_组织架构,Responsible/Accountable/Consulted/Informed 角色矩阵,用于责任矩阵划分,RACI / 责任矩阵,raci,9,03_组织架构,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
ORG-015,,管理跨度,SpanOfControl,原创设计·几何抽象,PPT图标语义库·咨询框架包,03_组织架构,一名管理者直接管理5名下属,用于管理幅度分析,管理跨度 / Span-of-Control,span-of-control,9,03_组织架构,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
ORG-016,,汇报层级,ReportingHierarchy,原创设计·几何抽象,PPT图标语义库·咨询框架包,03_组织架构,三级层层下属的汇报关系,用于组织架构图,汇报层级 / Org-Chart,"reporting-hierarchy, org-chart",9,03_组织架构,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
ORG-017,,虚线汇报,DottedLineReporting,原创设计·几何抽象,PPT图标语义库·咨询框架包,03_组织架构,实线主管+虚线协调的双线汇报,用于矩阵组织汇报关系,虚线汇报 / Dotted-Line,dotted-line-reporting,9,03_组织架构,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
ORG-018,,扁平组织,FlatOrg,原创设计·几何抽象,PPT图标语义库·咨询框架包,03_组织架构,一层管理直辖多人的扁平结构,用于扁平化组织,扁平组织 / Flat-Org,flat-org,9,03_组织架构,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
ORG-019,,利益相关方,StakeholderMap,原创设计·几何抽象,PPT图标语义库·咨询框架包,03_组织架构,由内向外不同距离的关键-关注-边缘相关方,用于利益相关方识别与影响力分析,相关方 / Stakeholder / 利益方,stakeholder-map,9,03_组织架构,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
ORG-020,,组织级联,OrgCascade,原创设计·几何抽象,PPT图标语义库·咨询框架包,03_组织架构,战略目标自上而下层层级联到一线,用于战略到执行的级联落实,级联 / 目标分解,"cascade, goal-deployment",9,03_组织架构,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
ORG-021,,直接下属,DirectReports,原创设计·几何抽象,PPT图标语义库·咨询框架包,03_组织架构,一名上级与四名直属下属,用于直接汇报关系标识,直接下属 / Direct-Report,direct-reports,9,03_组织架构,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
ORG-022,,决策权分配,DecisionRights,原创设计·几何抽象,PPT图标语义库·咨询框架包,03_组织架构,矩阵格子标记不同层级决策权归属,用于决策权矩阵DACI/RAPID,决策权 / DACI / RAPID,"decision-rights, daci",9,03_组织架构,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
ORG-023,,授权层级,DelegationCascade,原创设计·几何抽象,PPT图标语义库·咨询框架包,03_组织架构,向下分解的授权箭头,用于授权管理设计,授权 / Delegation,delegation,9,03_组织架构,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
ORG-024,,升级路径,EscalationPath,原创设计·几何抽象,PPT图标语义库·咨询框架包,03_组织架构,问题向上逐级升级处理,用于事件升级流程,升级路径 / Escalation,escalation,9,03_组织架构,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
ORG-025,,组织转型,OrgTransformation,原创设计·几何抽象,PPT图标语义库·咨询框架包,03_组织架构,方块变圆形象征僵化向灵活的转型,用于组织变革标识,组织转型 / 变革,"org-transformation, change",10,03_组织架构,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
ORG-026,,人才管道,TalentPipeline,原创设计·几何抽象,PPT图标语义库·咨询框架包,03_组织架构,金字塔型人才储备库递减,用于继任规划Talent Pipeline,人才管道 / Talent-Pipeline,talent-pipeline,10,03_组织架构,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
ORG-027,,继任阶梯,SuccessionLadder,原创设计·几何抽象,PPT图标语义库·咨询框架包,03_组织架构,向上阶梯象征职业发展通道,用于继任规划/晋升通道,继任 / 晋升通道,"succession, career-ladder",10,03_组织架构,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
ORG-028,,能力金字塔,CapabilityPyramid,原创设计·几何抽象,PPT图标语义库·咨询框架包,03_组织架构,能力等级由低到高的五级金字塔,用于能力体系规划,能力金字塔 / 能力等级,capability-pyramid,10,03_组织架构,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
ORG-029,,工作组,WorkingGroup,原创设计·几何抽象,PPT图标语义库·咨询框架包,03_组织架构,四人闭环全连接专项小组,用于专项工作组,工作组 / Working-Group,working-group,10,03_组织架构,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
ORG-030,,决策vs执行,SteerVsDeliver,原创设计·几何抽象,PPT图标语义库·咨询框架包,03_组织架构,上层决策圆环+下层执行方块,用于决策与执行分离设计,决策执行 / Steer-Deliver,steer-vs-deliver,10,03_组织架构,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
CHART-001,,瀑布图,WaterfallChart,原创设计·几何抽象,PPT图标语义库·咨询框架包,04_数据可视化,正负贡献依次叠加形成瀑布,用于分解差异、归因分析,瀑布图 / Waterfall / 分解,"waterfall, decomposition",12,04_数据可视化,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
CHART-002,,马赛克图,MarimekkoChart,原创设计·几何抽象,PPT图标语义库·咨询框架包,04_数据可视化,宽度和高度都承载数据维度的二维方块图,用于市场细分、份额分析,马赛克 / Marimekko,"marimekko, mosaic",12,04_数据可视化,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
CHART-003,,桑基图,SankeyDiagram,原创设计·几何抽象,PPT图标语义库·咨询框架包,04_数据可视化,节点间流量带宽的桑基流图,用于流量分析、预算流向,桑基图 / Sankey / 流量,"sankey, flow-diagram",12,04_数据可视化,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
CHART-004,,热力图,Heatmap,原创设计·几何抽象,PPT图标语义库·咨询框架包,04_数据可视化,格子明暗代表数值大小,用于密度分布、相关性矩阵,热力图 / Heatmap,heatmap,12,04_数据可视化,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
CHART-005,,雷达图,RadarChart,原创设计·几何抽象,PPT图标语义库·咨询框架包,04_数据可视化,多边形展开的多维度评估,用于能力雷达、产品对比,雷达图 / 蜘蛛图,"radar, spider-chart",12,04_数据可视化,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
CHART-006,,树状图,Treemap,原创设计·几何抽象,PPT图标语义库·咨询框架包,04_数据可视化,嵌套矩形面积代表数值大小的层级图,用于层级数据可视化,树图 / Treemap,treemap,12,04_数据可视化,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
CHART-007,,气泡图,BubbleChart,原创设计·几何抽象,PPT图标语义库·咨询框架包,04_数据可视化,气泡大小承载第三维度,用于三维数据可视化,气泡图 / Bubble,bubble-chart,12,04_数据可视化,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
CHART-008,,堆叠柱状,StackedBar,原创设计·几何抽象,PPT图标语义库·咨询框架包,04_数据可视化,多类别堆叠的柱状图,用于构成对比,堆叠柱 / Stacked-Bar,stacked-bar,12,04_数据可视化,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
CHART-009,,百分比堆叠,HundredPercentStacked,原创设计·几何抽象,PPT图标语义库·咨询框架包,04_数据可视化,高度对齐到100%的堆叠柱,用于结构占比对比,百分比堆叠,100-stacked,12,04_数据可视化,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
CHART-010,,箱线图,BoxPlot,原创设计·几何抽象,PPT图标语义库·咨询框架包,04_数据可视化,中位数+四分位数+离群值的箱线图,用于分布对比,箱线图 / BoxPlot,boxplot,12,04_数据可视化,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
CHART-011,,直方图,Histogram,原创设计·几何抽象,PPT图标语义库·咨询框架包,04_数据可视化,等宽柱并排的频次分布,用于数据分布,直方图 / Histogram,histogram,12,04_数据可视化,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
CHART-012,,累积曲线,CumulativeLine,原创设计·几何抽象,PPT图标语义库·咨询框架包,04_数据可视化,单调递增的累积线,用于累积达成、累积分布,累积曲线 / Cumulative,cumulative-line,12,04_数据可视化,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
CHART-013,,阶梯图,StepChart,原创设计·几何抽象,PPT图标语义库·咨询框架包,04_数据可视化,断点跳变的阶梯走势,用于离散变化追踪,阶梯图 / Step-Chart,step-chart,12,04_数据可视化,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
CHART-014,,面积图,AreaChart,原创设计·几何抽象,PPT图标语义库·咨询框架包,04_数据可视化,曲线下填充的面积图,用于累计走势,面积图 / Area,area-chart,12,04_数据可视化,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
CHART-015,,甘特条,GanttBars,原创设计·几何抽象,PPT图标语义库·咨询框架包,04_数据可视化,时间轴上的水平任务条,用于项目进度,甘特 / 进度条,gantt-bars,12,04_数据可视化,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
CHART-016,,子弹图,BulletChart,原创设计·几何抽象,PPT图标语义库·咨询框架包,04_数据可视化,实际值条+目标线+定性区段,用于KPI达成度,子弹图 / Bullet,bullet-chart,12,04_数据可视化,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
CHART-017,,对比柱,ComparisonBar,原创设计·几何抽象,PPT图标语义库·咨询框架包,04_数据可视化,成对柱形对比两组数据,用于A/B对比、前后对比,对比柱 / Comparison-Bar,comparison-bar,12,04_数据可视化,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
CHART-018,,指数图,IndexChart,原创设计·几何抽象,PPT图标语义库·咨询框架包,04_数据可视化,以100为基准的指数化曲线,用于多线相对走势对比,指数图 / Index-Chart,index-chart,12,04_数据可视化,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
CHART-019,,帕累托图,ParetoChart,原创设计·几何抽象,PPT图标语义库·咨询框架包,04_数据可视化,降序柱+累积线代表20/80分布,用于二八定律分析,帕累托 / 二八定律,"pareto, 80-20",12,04_数据可视化,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
CHART-020,,分布曲线,DistributionCurve,原创设计·几何抽象,PPT图标语义库·咨询框架包,04_数据可视化,正态分布钟形曲线,用于分布特征展示,分布曲线 / 正态分布,"distribution, normal-curve",12,04_数据可视化,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
CHART-021,,置信区间,ConfidenceInterval,原创设计·几何抽象,PPT图标语义库·咨询框架包,04_数据可视化,中心线+上下置信带,用于不确定性可视化,置信区间 / 误差带,confidence-interval,12,04_数据可视化,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
CHART-022,,标注趋势,TrendAnnotation,原创设计·几何抽象,PPT图标语义库·咨询框架包,04_数据可视化,趋势线上的关键点+注释框,用于关键事件标注,标注 / Annotation,annotation,12,04_数据可视化,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
CHART-023,,预测扇形,ForecastCone,原创设计·几何抽象,PPT图标语义库·咨询框架包,04_数据可视化,未来不确定性扩张的扇形带,用于预测/预算区间,预测扇形 / Forecast,"forecast, fan-chart",12,04_数据可视化,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
CHART-024,,事件时间线,EventTimeline,原创设计·几何抽象,PPT图标语义库·咨询框架包,04_数据可视化,时间轴上的事件标记,用于历史事件、里程碑回顾,时间线 / 事件轴,"timeline, event-timeline",12,04_数据可视化,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
CHART-025,,点状图,DotPlot,原创设计·几何抽象,PPT图标语义库·咨询框架包,04_数据可视化,横线上等距分布的圆点,用于离散数据点展示,点状图 / Dot-Plot,dot-plot,13,04_数据可视化,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
CHART-026,,斜率图,SlopeChart,原创设计·几何抽象,PPT图标语义库·咨询框架包,04_数据可视化,前后两点连线对比的斜率图,用于变化前后对比,斜率图 / Slope-Chart,slope-chart,13,04_数据可视化,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
CHART-027,,迷你折线,Sparkline,原创设计·几何抽象,PPT图标语义库·咨询框架包,04_数据可视化,嵌入式微型趋势线,用于表格内嵌图,迷你折线 / Sparkline,sparkline,13,04_数据可视化,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
CHART-028,,棒棒糖图,LollipopChart,原创设计·几何抽象,PPT图标语义库·咨询框架包,04_数据可视化,竖线+顶端圆点的棒棒糖式柱图,用于排名/对比,棒棒糖图 / Lollipop,lollipop,13,04_数据可视化,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
CHART-029,,龙卷风图,TornadoChart,原创设计·几何抽象,PPT图标语义库·咨询框架包,04_数据可视化,中心轴左右对称的敏感性条形图,用于敏感性分析、影响因素排序,龙卷风 / Tornado / 敏感性,"tornado, sensitivity",13,04_数据可视化,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
CHART-030,,差异桥,VarianceBridge,原创设计·几何抽象,PPT图标语义库·咨询框架包,04_数据可视化,正负差异组成的桥型瀑布,用于实际vs预算差异分析,差异桥 / Variance,variance-bridge,13,04_数据可视化,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
CHART-031,,地理热力,GeoHeatmap,原创设计·几何抽象,PPT图标语义库·咨询框架包,04_数据可视化,地图轮廓+大小不一的热力点,用于地理分布展示,地理热力 / 区域分布,geo-heatmap,13,04_数据可视化,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
CHART-032,,分级地图,Choropleth,原创设计·几何抽象,PPT图标语义库·咨询框架包,04_数据可视化,不同色深的区域块代表数值高低,用于行政区数据可视化,分级地图 / Choropleth,choropleth,13,04_数据可视化,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
CHART-033,,队列分析,CohortGrid,原创设计·几何抽象,PPT图标语义库·咨询框架包,04_数据可视化,时间×留存率的队列网格,用于留存分析,队列分析 / Cohort,cohort,13,04_数据可视化,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
CHART-034,,分位带,QuintileBands,原创设计·几何抽象,PPT图标语义库·咨询框架包,04_数据可视化,五段水平带代表五分位区间,用于分位数分组,分位带 / 五分位,"quintile, bands",13,04_数据可视化,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
CHART-035,,散点回归,ScatterRegression,原创设计·几何抽象,PPT图标语义库·咨询框架包,04_数据可视化,散点+回归线,用于相关性分析,散点回归 / 回归线,scatter-regression,13,04_数据可视化,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
CHART-036,,百分比饼,PieWithPercent,原创设计·几何抽象,PPT图标语义库·咨询框架包,04_数据可视化,切分扇形的百分比饼,用于占比展示,百分比饼 / Pie,pie-percent,13,04_数据可视化,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
CHART-037,,环形KPI,DonutKpi,原创设计·几何抽象,PPT图标语义库·咨询框架包,04_数据可视化,中空圆环显示KPI完成率,用于单KPI达成展示,环形图 / KPI仪表,donut-kpi,13,04_数据可视化,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
CHART-038,,数据漏斗,FunnelChartData,原创设计·几何抽象,PPT图标语义库·咨询框架包,04_数据可视化,渐窄阶梯漏斗,用于数据漏斗可视化,数据漏斗,data-funnel,13,04_数据可视化,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
CHART-039,,KPI仪表卡,KpiDashboardCard,原创设计·几何抽象,PPT图标语义库·咨询框架包,04_数据可视化,卡片+大数字+趋势线的指标卡,用于Dashboard核心指标卡,KPI卡片 / Dashboard,"kpi-card, dashboard",13,04_数据可视化,"已完成 (PowerPoint 原生 custGeom 形状, Shape Fill 直接改色)",原创设计 · 几何抽象 · 通用商业框架概念 · 非复制任何特定咨询机构视觉资产
